"","Sourced","Placed","References","Value","Footprint"
1,"","","C2","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
2,"","","C3","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
3,"","","C4","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
4,"","","C5","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
5,"","","C8","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
6,"","","C9","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
7,"","","C12","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
8,"","","C13","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
9,"","","C14","470n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
10,"","","C18","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
11,"","","C20","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
12,"","","C21","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
13,"","","C23","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
14,"","","C24","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
15,"","","C1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
16,"","","C10","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
17,"","","C11","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder"
18,"","","C16","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
19,"","","C17","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
20,"","","C22","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
21,"","","C6","33p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
22,"","","C7","33p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder"
23,"","","C19","4u7","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder"
24,"","","R2","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
25,"","","R4","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
26,"","","R16","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
27,"","","R17","0R","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
28,"","","R15","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
29,"","","R18","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
30,"","","R19","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
31,"","","R20","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
32,"","","R1","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
33,"","","R8","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
34,"","","R9","5K1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
35,"","","R7","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
36,"","","R11","1K","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
37,"","","R10","2k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
38,"","","R14","2k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
39,"","","R3","100k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
40,"","","R12","22k1","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
41,"","","R13","47k5","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
42,"","","D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
43,"","","D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
44,"","","D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder"
45,"","","U2","USBLC6-2SC6","SOT-23-6"
46,"","","U6","USBLC6-2SC6","SOT-23-6"
47,"","","U1","MSPM0G3507SPTR","LQFP-48_7x7mm_P0.5mm"
48,"","","U3","SPX3819M5-L-3-3","SOT-23-5"
49,"","","U4","CH340E","MSOP-10_3x3mm_P0.5mm"
50,"","","U7","LM1117MP-3.3","SOT-223-3_TabPin2"
51,"","","U8","CP2102N-Axx-xQFN28","QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm"
52,"","","U9","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1"
53,"","","Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm"
54,"","","F1","Polyfuse","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder"
55,"","","SW1","SW_Push","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
56,"","","SW2","SW_Push","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder"
57,"","","Q1","SS8050","SOT-23"
58,"","","Q2","SS8050","SOT-23"
59,"","","FB1","FerriteBead","L_0805_2012Metric_Pad1.05x1.20mm_HandSolder"
60,"","","J1","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical"
61,"","","J2","USB_B_Micro","USB_Micro-B_Molex_47346-0001"
62,"","","J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal"
